snils;full_name;sex;birth;profession;salary;kids
30982324479;Mr. John Harmon;Female;2005-03-21;Psychologist, occupational;223034;0
37655790150;Mia Garcia;Male;2012-09-06;Engineer, electrical;933228;0
22785403807;Gwendolyn Waters;Female;2011-11-25;Television floor manager;631032;2
27560493072;Larry Murphy;Male;2023-02-21;Production engineer;428186;5
99225010906;Mary Alvarado;Male;2018-05-23;Wellsite geologist;297259;3
91837969365;Noah Lee;Male;2022-05-16;Public librarian;702342;2
60133312733;Caroline Harris;Male;2006-08-02;Scientific laboratory technician;187359;2
21033501030;Michael Peters;Male;2001-06-12;Conservator, furniture;46084;0
16709475501;Ruben Wright;Male;2005-08-12;Secretary, company;774967;5
43337011660;Kimberly Diaz;Male;2006-10-05;Advice worker;614807;3
19851441783;Ashley Baker;Male;2007-01-19;Teacher, adult education;373525;2
37256196659;Jennifer Murphy;Male;2014-08-04;Radiographer, diagnostic;921880;5
51720806278;Angela Vazquez;Male;2009-07-23;Conference centre manager;863381;4
93180259603;Emily Landry;Female;2002-02-01;Biomedical engineer;602199;2
01458809954;Victoria West;Male;2007-08-05;Prison officer;187402;1
76009830036;Donna Trevino;Male;2007-12-12;Warehouse manager;213710;3
32860790314;Kimberly Cook;Male;2002-03-19;Dentist;622731;4
82329149473;Terry Montgomery;Female;2011-04-28;Armed forces training and education officer;969460;2
74746139726;Jorge Davidson;Male;2017-01-13;Optometrist;388062;3
63720946217;Laura Washington;Male;2022-08-28;Heritage manager;614812;2
70049621356;Patricia Adams;Female;2005-07-07;Museum/gallery curator;801817;0
21414228967;Tammy Shelton;Female;2005-10-23;Information systems manager;299740;4
92432734595;Christopher Watson;Female;2004-06-02;Agricultural engineer;760154;4
86918693497;Molly Allen;Female;2017-11-08;Careers information officer;656368;1
48000804340;Lindsay Jones;Female;2005-09-06;Fitness centre manager;798038;3
65860663960;David Willis;Female;2013-09-21;Pilot, airline;863309;3
82382774654;Rachel Murphy;Male;2000-12-14;Neurosurgeon;772373;3
54033408634;Michael Lewis MD;Female;2015-07-23;Environmental manager;216945;1
02986285892;William Gutierrez;Male;2016-10-02;Travel agency manager;417404;1
06808865573;Taylor Bird;Male;2020-03-04;Cartographer;48188;5
58163270574;Jessica Farmer;Female;2023-08-13;Social research officer, government;318286;5
57274667842;Valerie Stevens;Female;2006-05-10;Scientist, clinical (histocompatibility and immunogenetics);889227;5
10017048818;Derek Russell;Male;2000-08-17;Engineer, site;983919;1
90059617047;Craig Herrera;Female;2015-10-22;Data scientist;651805;4
54825525950;Kimberly Rocha;Male;2014-08-24;IT technical support officer;498236;5
32294082888;Pamela Griffin;Male;2011-09-12;Conservation officer, historic buildings;906388;4
53555414501;Jeffrey Miles;Female;2005-05-15;Chief Strategy Officer;960448;3
68845292464;Wanda Johnson;Female;2021-05-16;Lawyer;192866;2
15727968907;Hannah Horton;Male;2010-11-01;Artist;413758;4
24230198299;Matthew Mendoza;Female;2014-02-18;English as a second language teacher;878408;4
34398741557;Julie Dixon;Male;2021-06-28;Production designer, theatre/television/film;350467;5
79799754159;Dominic Green;Female;2010-05-21;Paediatric nurse;538465;5
11105755568;Shaun Hernandez;Male;2015-11-28;Therapeutic radiographer;589230;1
07954839273;Cynthia Mcclain;Female;2010-09-11;Geophysicist/field seismologist;516716;5
17184364841;Christian Willis;Female;2003-09-14;Prison officer;701223;2
55357588066;Sharon Molina;Male;2017-09-05;Oncologist;926089;3
06132463575;Edward Phillips;Female;2013-11-21;Production designer, theatre/television/film;156563;2
07425443837;Brett Dixon;Female;2011-12-20;Proofreader;623380;5
73998253046;Gary Hartman;Male;2021-11-09;Legal executive;639591;3
57632445655;Joe Ortega;Female;2023-05-05;Ceramics designer;778638;2
52941445093;Raymond Pena;Female;2016-05-20;Nutritional therapist;256857;2
65391657620;Jason Stevens;Male;2018-01-15;Forensic scientist;356192;3
42861427949;Kevin Wilson;Female;2000-03-03;Archaeologist;319253;5
60785998239;Sarah Powers;Female;2021-01-05;Research scientist (life sciences);845896;3
13238885259;Amy Walker;Female;2006-05-18;Photographer;789565;4
84164249188;Tyler Casey;Male;2005-06-17;Translator;589269;2
36531261037;Dustin Beard;Female;2009-10-08;Radio producer;330484;3
15516606302;Andrea Blevins;Male;2004-07-01;Video editor;125046;2
53739068231;Ryan Parks;Male;2006-10-25;Ceramics designer;192646;2
83747187861;Dan Richardson;Male;2017-11-09;Trade union research officer;401198;0
90140717166;Rachel Jensen;Female;2003-09-13;Psychotherapist;806651;5
76405676789;Amanda Pena;Male;2018-11-02;Copywriter, advertising;780034;1
42806746663;Maria Nichols;Male;2011-10-04;Designer, television/film set;878068;5
59016336091;Marcus Morgan;Female;2013-02-11;Administrator;672021;2
69732853236;Lisa Garza;Female;2016-07-25;Site engineer;464848;5
12892373664;Nicole Patel;Male;2021-11-20;Graphic designer;98754;1
05869962787;Karl Parker;Male;2014-01-03;Designer, furniture;483787;2
70232187018;Cynthia Martinez;Male;2014-01-12;Chief Marketing Officer;702017;1
97847416106;Crystal Cordova;Female;2012-01-06;Education officer, museum;945070;3
28643856785;Jonathan Griffith;Male;2003-03-13;Lighting technician, broadcasting/film/video;387715;0
37586937934;Jack Wilson;Female;2004-05-24;Catering manager;937769;5
55448523109;Michael Garza;Male;2006-10-12;Clinical molecular geneticist;472700;4
54080457613;Amy Arnold;Female;2015-06-21;Data processing manager;562173;3
37455580259;Brad Frazier;Male;2015-09-03;Immigration officer;65270;3
44434596854;Bryan Wood;Female;2013-04-03;Tourism officer;716296;0
17622225194;Brittany Stanley;Male;2007-12-24;Patent examiner;23821;5
40814769032;Lee Paul;Male;2012-02-16;Web designer;372454;0
32897474994;Cynthia Valencia;Male;2006-10-28;Psychologist, prison and probation services;859143;1
49876253350;Susan Clarke;Female;2007-03-18;Scientist, product/process development;16109;0
75122335700;Benjamin Brown;Male;2001-09-28;Optician, dispensing;735042;1
62677709379;Matthew Quinn;Male;2013-05-10;Call centre manager;752080;0
83041203918;Jared Fields;Male;2005-08-23;Education officer, environmental;673562;5
49199562140;Jessica Hernandez;Male;2001-11-21;Manufacturing engineer;332681;3
69313080493;Ms. Margaret Kelly;Female;2004-02-19;Administrator, local government;402472;5
86796113592;Stephanie Anderson;Female;2008-07-04;Hydrologist;216300;3
37142259478;Robert Nunez;Male;2013-05-03;Corporate treasurer;281625;5
54290543994;Earl Moreno;Male;2010-09-05;Therapist, music;642353;3
53163848377;Kerri Chang;Male;2005-01-27;Facilities manager;732894;0
05421787286;Wesley Walters;Male;2003-07-27;Music therapist;4181;2
14091651004;Samantha Jordan;Female;2014-10-19;Web designer;19447;3
14015992481;Kathleen Olsen;Male;2009-01-21;IT trainer;824341;0
07946426797;Juan Maynard;Male;2003-07-09;Doctor, general practice;690087;1
43300320655;Anthony Norton;Male;2015-04-18;Health promotion specialist;768170;4
39787594629;Michael Ramsey;Male;2015-05-22;Surveyor, insurance;534080;1
79969884715;Sherri Nelson DVM;Female;2005-12-05;Journalist, newspaper;928640;5
34139174972;Linda Shah;Female;2015-10-09;Warehouse manager;744076;1
65224143571;James Williams;Female;2007-03-03;Geologist, engineering;509411;4
52198204297;Adam Smith;Male;2014-03-13;Therapist, sports;873537;3
60091810767;Sara Greer;Female;2003-05-14;Art gallery manager;88380;3
58291033404;James Hale;Male;2000-10-07;Air broker;383576;4
08293594379;Thomas Walker;Male;2022-06-09;Psychologist, educational;567226;1
85066195558;April Anderson;Female;2017-10-17;Pharmacist, hospital;276149;0
73003799719;Rachel Carter;Male;2010-05-21;Therapist, occupational;496757;3
27961876904;Laura Newton;Male;2004-12-25;Medical sales representative;50010;0
59330448711;Kathy Jackson;Female;2006-03-21;Air traffic controller;955484;0
24891497603;Kelsey Cook;Male;2020-09-21;Clinical psychologist;218150;2
83237489614;Patricia Collins;Female;2010-02-02;Sales professional, IT;997276;5
23600851361;Rita Ross;Female;2017-06-25;Actuary;790982;0
58034487486;Julian Haley;Female;2021-04-27;Dramatherapist;26794;5
47549401247;Andrew Chase;Female;2008-11-20;Quarry manager;280921;2
97698019067;Christopher Rangel;Female;2023-05-19;Holiday representative;539402;0
50232698720;Jamie Ramirez;Male;2017-04-01;Armed forces operational officer;885882;3
48456430516;Mrs. Carolyn Bishop;Male;2022-01-20;Air broker;869360;4
23550126443;Jerry Hurst;Female;2020-01-05;Engineer, structural;251547;5
36102495860;David Stokes;Male;2015-06-15;Copywriter, advertising;662587;2
79614574461;Susan Smith;Female;2014-02-27;Arboriculturist;560154;5
78917237513;Christopher Chapman;Female;2018-02-17;Paramedic;317579;1
38169877858;James Hill;Male;2017-05-20;Horticulturist, commercial;600074;1
52684852497;James Davis MD;Female;2011-09-16;Health visitor;122278;3
06884976388;Linda Casey;Female;2003-10-19;Clinical research associate;617693;2
24841866536;Kenneth Dennis;Female;2019-06-13;Ship broker;562141;2
40120865618;Jimmy Mcdonald;Male;2006-04-17;Emergency planning/management officer;813327;2
14191079649;Ronnie Ross;Male;2013-05-04;Therapeutic radiographer;262581;5
95758132003;Elizabeth Perez;Female;2003-10-26;Energy manager;895948;5
04262817572;John Frederick;Male;2010-07-07;Fast food restaurant manager;161276;5
53899728616;Miss Olivia Jacobs;Male;2000-06-20;Copywriter, advertising;901347;5
76341571341;Deborah Harris;Male;2021-02-23;Psychologist, prison and probation services;566453;3
94817089371;Samantha Barker;Male;2003-10-15;Surveyor, minerals;602412;1
08763133966;Margaret Guerrero;Male;2005-08-16;Trade union research officer;40520;3
22567408586;Matthew Jackson;Female;2018-07-11;Midwife;917850;3
16727531075;Samuel Guzman;Male;2003-12-14;Aeronautical engineer;314350;5
08240218788;James Hoover;Male;2003-07-22;Retail banker;370311;4
65391695811;Stanley Young;Male;2007-11-24;Engineer, electronics;751759;5
29152412235;Paula Liu;Female;2013-08-09;Garment/textile technologist;193649;4
29461084046;Tyler Juarez;Male;2007-05-25;Education administrator;230263;3
84372777903;Courtney Phillips;Male;2005-04-01;General practice doctor;337981;4
97322415682;Leslie Larson;Female;2007-01-23;Pension scheme manager;266873;2
47878320495;Jillian Payne;Male;2011-02-27;Therapist, nutritional;821173;5
26889984369;Penny Thomas;Female;2015-08-05;Astronomer;805599;0
88070795878;John Anderson;Male;2016-01-26;Engineer, civil (contracting);182992;4
16982972156;Paul Hays;Female;2000-12-05;Exercise physiologist;113144;4
59797802747;Christina Combs;Male;2022-02-25;Make;551971;5
90619706635;Raymond Bailey;Female;2017-03-21;Medical secretary;926919;0
38191932843;Chad Williams;Female;2007-01-08;Retail buyer;473084;4
62317017497;Rachel Martinez;Male;2021-11-01;Toxicologist;722177;1
73842687322;Daniel Briggs;Male;2006-03-02;Health service manager;439096;2
59116256717;Michael Garcia;Male;2015-11-01;Child psychotherapist;347381;4
88633110797;Rachel Knight;Female;2004-01-02;Warehouse manager;632147;0
04484736179;Tina Velazquez;Male;2019-10-18;Psychologist, forensic;406092;1
72395239000;Michael Alvarado;Male;2018-01-01;Research scientist (life sciences);59445;5
40557020715;Lori Tanner;Female;2001-09-05;Designer, interior/spatial;283320;4
42030562697;Jacqueline Dennis;Male;2011-04-08;Education officer, museum;717094;2
13973348484;Kyle Mcdonald;Male;2002-01-10;Professor Emeritus;360169;5
12645169628;Sarah Rodriguez;Male;2010-01-03;Administrator, charities/voluntary organisations;863849;5
91609208790;Clayton Jefferson;Female;2003-04-07;Production designer, theatre/television/film;843737;0
99251124274;Frank Bush;Female;2008-08-10;Broadcast presenter;932160;0
07368540900;Rachel Young;Male;2015-08-02;Psychologist, educational;985934;3
23428806653;Michael Gutierrez;Female;2002-09-05;Surveyor, planning and development;977462;0
72002849968;Lisa Green;Female;2013-09-17;Medical technical officer;16239;3
00227606834;Melanie Foley;Male;2019-04-13;Accountant, chartered public finance;539152;2
80740870896;Julia Stewart;Male;2019-07-01;Civil Service administrator;218242;1
53801396390;Amy Garner;Female;2003-04-08;Translator;913614;5
01132185443;Catherine Lewis;Female;2020-02-22;Psychiatric nurse;394882;4
40142927553;Susan Brown;Male;2017-11-12;General practice doctor;993509;1
37781899718;Jillian Sullivan;Male;2011-12-10;Conservator, museum/gallery;91480;3
40476876656;Heather Baxter;Female;2015-12-14;Immunologist;588026;2
99653395455;Denise Watson;Female;2019-09-08;Armed forces training and education officer;735152;1
35638923589;Helen Nichols;Male;2015-09-22;Careers information officer;489948;1
16958939559;Rebecca Harrison;Male;2012-07-20;Merchandiser, retail;841694;1
86170523950;Mary Rhodes;Male;2003-11-23;Accommodation manager;289264;5
20777627984;Brandy Cruz MD;Female;2014-02-01;Advertising art director;82328;5
25613173765;Rhonda Gonzalez;Male;2020-06-04;Publishing rights manager;162597;1
84083560508;Allison Martinez;Female;2016-07-11;Research officer, government;757356;1
04983080268;Jessica Richards;Female;2000-07-05;Network engineer;773646;2
28549929876;Karina Sanchez;Female;2010-05-16;Automotive engineer;737302;1
45327002106;Daniel Pennington;Female;2011-09-06;Recycling officer;148329;2
83888072642;David Ortiz;Male;2010-10-26;Armed forces operational officer;74858;4
21183782894;Adam Harris;Female;2007-02-18;Forest/woodland manager;959726;1
06955656819;Michael Conley;Female;2003-01-04;Scientist, water quality;572166;5
99251852566;Kevin Hoffman;Female;2004-11-15;Computer games developer;964819;1
03970025664;Christopher Martinez;Male;2022-02-15;Occupational hygienist;987710;2
58580157977;Jose Mcbride;Male;2001-09-11;Presenter, broadcasting;665097;1
60353735751;Joseph Murphy;Female;2023-11-22;IT technical support officer;373168;2
45494023855;Lori Payne;Female;2007-06-28;Printmaker;875067;1
43212983979;Jeffrey Ford;Male;2009-02-17;Retail merchandiser;708136;2
26898885804;Jessica Warren;Male;2005-08-02;Chief of Staff;256612;3
31612762908;Jay Berger MD;Female;2003-02-20;Surveyor, hydrographic;149171;5
22485613688;Angel Powell;Female;2006-06-13;Radio producer;380698;4
52828558196;Zachary Reyes;Male;2019-08-02;Industrial/product designer;658638;2
72909399661;Danielle Butler;Female;2008-01-06;Senior tax professional/tax inspector;975189;0
05651027202;Tammy Wells;Female;2002-12-23;Customer service manager;964828;0
57347170690;Colleen Alvarez;Male;2004-01-18;Actuary;158534;4
03310554662;Megan Ramsey;Female;2015-06-14;Applications developer;677147;3
95488836771;Christina Adams;Male;2013-08-23;Database administrator;354811;3
87482355438;Gabriel Murphy;Male;2019-03-27;Press photographer;414067;1
81965847333;Dr. Jennifer Cuevas;Female;2007-06-03;Make;444916;2
33452677598;David Henderson;Female;2011-06-20;Designer, textile;88288;4
04821864242;Amanda Davila;Male;2018-04-23;Geographical information systems officer;993489;4
70940118512;Jimmy Wallace;Male;2014-08-12;Politician's assistant;758232;0
12368882478;Richard Cobb;Male;2011-01-19;Mental health nurse;9914;1
37644460218;Kurt Mitchell;Male;2012-04-22;Trade mark attorney;989087;1
12746474781;Diana Nelson;Male;2008-10-19;Freight forwarder;534681;1
30637255884;Sara Brown;Male;2011-02-10;Higher education careers adviser;754029;1
75978919144;Jenna Lee;Female;2019-03-14;Horticultural consultant;816388;5
14015465428;Brian Ruiz;Male;2021-02-22;Insurance underwriter;215852;1
84335885638;Samantha Cowan;Female;2012-08-16;Surveyor, commercial/residential;795518;0
66380799836;Jennifer Walker;Female;2020-11-19;Editorial assistant;758697;3
48871656992;Susan Griffin;Female;2020-06-25;Music therapist;145080;5
21172145880;Frederick Jennings;Female;2023-11-28;Patent examiner;964643;0
44887412861;Jenna Wright;Male;2011-08-25;Passenger transport manager;258122;4
14501612172;Joseph Newman;Male;2012-09-10;Mudlogger;736412;3
72332985147;Holly Greer;Female;2020-12-04;Systems analyst;216934;5
03010423812;Jennifer Lewis;Female;2021-05-01;Designer, interior/spatial;361644;3
47378546540;James Hart;Female;2022-06-16;Psychiatrist;625169;1
81045867596;James Gould;Female;2020-09-15;Administrator, local government;646360;0
14573928309;Rhonda Adkins;Female;2013-05-16;Horticulturist, commercial;736393;0
62897821148;Kevin Walton;Male;2017-11-03;Chemical engineer;407090;0
32970349023;Stacey Gilbert;Female;2003-05-04;Producer, television/film/video;433555;5
21836311644;Brandi Hamilton;Male;2014-10-27;Geophysicist/field seismologist;64396;2
49545346017;Brittany Hudson;Male;2001-08-17;Teacher, secondary school;605731;0
92252606803;Mary Foster;Female;2010-12-03;Production engineer;345434;5
07808653226;Jordan Lewis;Male;2006-11-02;Community arts worker;731090;3
83881448208;David Hampton;Female;2004-11-19;Production designer, theatre/television/film;249444;5
83855784791;Melissa Martin;Male;2019-03-09;Civil engineer, consulting;296773;2
18383941916;Ashley King;Male;2019-10-12;Engineer, electronics;66396;5
32733762457;Deborah Morgan;Male;2001-07-21;Mechanical engineer;347703;5
68921994454;Kevin Martinez;Male;2013-03-21;Solicitor;753581;0
20959484067;James Bentley;Female;2012-01-28;Development worker, international aid;955313;4
75139189452;Jennifer Jones;Female;2015-01-03;Community education officer;935786;4
99329366421;Sarah Dominguez;Female;2020-06-07;Medical laboratory scientific officer;3161;1
14880261573;Joseph Harris;Female;2013-09-23;Firefighter;264603;2
90081603098;Jenna Christensen;Female;2007-11-16;Therapist, nutritional;708245;3
00094240999;Sarah Pearson;Male;2000-08-17;Architect;968435;4
41155853811;Cindy Moore;Female;2001-08-09;Maintenance engineer;807090;1
85999600831;Eric Rivera;Female;2013-05-09;Advertising account planner;781421;4
29261639292;Yolanda Logan;Female;2021-12-10;Research officer, government;554867;2
04026988801;Martin Martinez;Female;2004-12-20;Claims inspector/assessor;380113;1
32892287944;Sandra Moses;Male;2016-01-17;Financial manager;728446;3
